,Company,Year,Quarter,OCI L4,OCI L5,Value
24,Western Surety Company,2020,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Western Surety Company,2020,Q3,Other,Other,0
26,Western Surety Company,2020,Q3,FVOCI, Equities (IFRS 9),0
27,Western Surety Company,2020,Q3,Revaluation Surplus,Revaluation Surplus,0
28,Western Surety Company,2020,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Western Surety Company,2020,Q3,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Western Surety Company,2020,Q3,Other,Other,0
0,Western Surety Company,2019,Q1,0,Net Income,357
1,Western Surety Company,2019,Q1,FVOCI, Loans,0
2,Western Surety Company,2019,Q1,FVOCI, Bonds and Debentures,341
3,Western Surety Company,2019,Q1,FVOCI, Equities (IAS 39),1015
4,Western Surety Company,2019,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,129
5,Western Surety Company,2019,Q1,Overlay Approach,Unrealized Gains and Losses,0
6,Western Surety Company,2019,Q1,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Western Surety Company,2019,Q1,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Western Surety Company,2019,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Western Surety Company,2019,Q1,FX Translation,Change in Unrealized Gains and Losses,0
10,Western Surety Company,2019,Q1,FX Translation,Impact of Hedging,0
11,Western Surety Company,2019,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Western Surety Company,2019,Q1,Other,Other,0
13,Western Surety Company,2019,Q1,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,1485
14,Western Surety Company,2019,Q1,Revaluation Surplus, Equities (IFRS 9),0
15,Western Surety Company,2019,Q1,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Western Surety Company,2019,Q1,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Western Surety Company,2019,Q1,Other,Remeasurements of Defined Benefit Plans,0
18,Western Surety Company,2019,Q1,N/A,Other,0
19,Western Surety Company,2019,Q1,N/A,Equity Holders,1128
20,Western Surety Company,2019,Q1,FVOCI, Loans,0
21,Western Surety Company,2019,Q1,FVOCI, Bonds and Debentures,112
22,Western Surety Company,2019,Q1,FVOCI, Equities (IAS 39),2157
23,Western Surety Company,2019,Q1,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Western Surety Company,2019,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Western Surety Company,2019,Q1,Other,Other,0
26,Western Surety Company,2019,Q1,FVOCI, Equities (IFRS 9),0
27,Western Surety Company,2019,Q1,Revaluation Surplus,Revaluation Surplus,0
28,Western Surety Company,2019,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Western Surety Company,2019,Q1,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Western Surety Company,2019,Q1,Other,Other,0
0,Western Surety Company,2019,Q2,0,Net Income,751
1,Western Surety Company,2019,Q2,FVOCI, Loans,0
2,Western Surety Company,2019,Q2,FVOCI, Bonds and Debentures,149
3,Western Surety Company,2019,Q2,FVOCI, Equities (IAS 39),250
4,Western Surety Company,2019,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,99
5,Western Surety Company,2019,Q2,Overlay Approach,Unrealized Gains and Losses,0
6,Western Surety Company,2019,Q2,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Western Surety Company,2019,Q2,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Western Surety Company,2019,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Western Surety Company,2019,Q2,FX Translation,Change in Unrealized Gains and Losses,0
10,Western Surety Company,2019,Q2,FX Translation,Impact of Hedging,0
11,Western Surety Company,2019,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Western Surety Company,2019,Q2,Other,Other,0
13,Western Surety Company,2019,Q2,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,42
14,Western Surety Company,2019,Q2,Revaluation Surplus, Equities (IFRS 9),0
15,Western Surety Company,2019,Q2,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Western Surety Company,2019,Q2,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Western Surety Company,2019,Q2,Other,Remeasurements of Defined Benefit Plans,0
18,Western Surety Company,2019,Q2,N/A,Other,0
19,Western Surety Company,2019,Q2,N/A,Equity Holders,1507
20,Western Surety Company,2019,Q2,FVOCI, Loans,0
21,Western Surety Company,2019,Q2,FVOCI, Bonds and Debentures,129
22,Western Surety Company,2019,Q2,FVOCI, Equities (IAS 39),-88
23,Western Surety Company,2019,Q2,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Western Surety Company,2019,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Western Surety Company,2019,Q2,Other,Other,0
26,Western Surety Company,2019,Q2,FVOCI, Equities (IFRS 9),0
27,Western Surety Company,2019,Q2,Revaluation Surplus,Revaluation Surplus,0
28,Western Surety Company,2019,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Western Surety Company,2019,Q2,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Western Surety Company,2019,Q2,Other,Other,0
0,Western Surety Company,2019,Q3,0,Net Income,1448
1,Western Surety Company,2019,Q3,FVOCI, Loans,0
2,Western Surety Company,2019,Q3,FVOCI, Bonds and Debentures,-149
3,Western Surety Company,2019,Q3,FVOCI, Equities (IAS 39),1330
4,Western Surety Company,2019,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,411
5,Western Surety Company,2019,Q3,Overlay Approach,Unrealized Gains and Losses,0
6,Western Surety Company,2019,Q3,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Western Surety Company,2019,Q3,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Western Surety Company,2019,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Western Surety Company,2019,Q3,FX Translation,Change in Unrealized Gains and Losses,0
10,Western Surety Company,2019,Q3,FX Translation,Impact of Hedging,0
11,Western Surety Company,2019,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Western Surety Company,2019,Q3,Other,Other,0
13,Western Surety Company,2019,Q3,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,1028
14,Western Surety Company,2019,Q3,Revaluation Surplus, Equities (IFRS 9),0
15,Western Surety Company,2019,Q3,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Western Surety Company,2019,Q3,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Western Surety Company,2019,Q3,Other,Remeasurements of Defined Benefit Plans,0
18,Western Surety Company,2019,Q3,N/A,Other,0
19,Western Surety Company,2019,Q3,N/A,Equity Holders,1762
20,Western Surety Company,2019,Q3,FVOCI, Loans,0
21,Western Surety Company,2019,Q3,FVOCI, Bonds and Debentures,104
22,Western Surety Company,2019,Q3,FVOCI, Equities (IAS 39),1707
23,Western Surety Company,2019,Q3,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Western Surety Company,2019,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Western Surety Company,2019,Q3,Other,Other,0
26,Western Surety Company,2019,Q3,FVOCI, Equities (IFRS 9),0
27,Western Surety Company,2019,Q3,Revaluation Surplus,Revaluation Surplus,0
28,Western Surety Company,2019,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Western Surety Company,2019,Q3,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Western Surety Company,2019,Q3,Other,Other,0
0,Western Surety Company,2019,Q4,0,Net Income,492
1,Western Surety Company,2019,Q4,FVOCI, Loans,0
2,Western Surety Company,2019,Q4,FVOCI, Bonds and Debentures,503
3,Western Surety Company,2019,Q4,FVOCI, Equities (IAS 39),761
4,Western Surety Company,2019,Q4,FVOCI,Reclassification of (Gains) Losses to Net Income,128
5,Western Surety Company,2019,Q4,Overlay Approach,Unrealized Gains and Losses,0
6,Western Surety Company,2019,Q4,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Western Surety Company,2019,Q4,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Western Surety Company,2019,Q4,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Western Surety Company,2019,Q4,FX Translation,Change in Unrealized Gains and Losses,0
10,Western Surety Company,2019,Q4,FX Translation,Impact of Hedging,0
11,Western Surety Company,2019,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Western Surety Company,2019,Q4,Other,Other,0
13,Western Surety Company,2019,Q4,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,878
14,Western Surety Company,2019,Q4,Revaluation Surplus, Equities (IFRS 9),0
15,Western Surety Company,2019,Q4,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Western Surety Company,2019,Q4,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Western Surety Company,2019,Q4,Other,Remeasurements of Defined Benefit Plans,0
18,Western Surety Company,2019,Q4,N/A,Other,0
19,Western Surety Company,2019,Q4,N/A,Equity Holders,2084
20,Western Surety Company,2019,Q4,FVOCI, Loans,0
21,Western Surety Company,2019,Q4,FVOCI, Bonds and Debentures,-17
22,Western Surety Company,2019,Q4,FVOCI, Equities (IAS 39),895
23,Western Surety Company,2019,Q4,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Western Surety Company,2019,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Western Surety Company,2019,Q4,Other,Other,0
26,Western Surety Company,2019,Q4,FVOCI, Equities (IFRS 9),0
27,Western Surety Company,2019,Q4,Revaluation Surplus,Revaluation Surplus,0
28,Western Surety Company,2019,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Western Surety Company,2019,Q4,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Western Surety Company,2019,Q4,Other,Other,0
0,Western Surety Company,2018,Q1,0,Net Income,1671
1,Western Surety Company,2018,Q1,FVOCI, Loans,0
2,Western Surety Company,2018,Q1,FVOCI, Bonds and Debentures,57
3,Western Surety Company,2018,Q1,FVOCI, Equities (IAS 39),133
4,Western Surety Company,2018,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,527
5,Western Surety Company,2018,Q1,Overlay Approach,Unrealized Gains and Losses,0
6,Western Surety Company,2018,Q1,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Western Surety Company,2018,Q1,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Western Surety Company,2018,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Western Surety Company,2018,Q1,FX Translation,Change in Unrealized Gains and Losses,0
10,Western Surety Company,2018,Q1,FX Translation,Impact of Hedging,0
11,Western Surety Company,2018,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Western Surety Company,2018,Q1,Other,Other,0
13,Western Surety Company,2018,Q1,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,717
14,Western Surety Company,2018,Q1,Revaluation Surplus, Equities (IFRS 9),0
15,Western Surety Company,2018,Q1,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Western Surety Company,2018,Q1,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Western Surety Company,2018,Q1,Other,Remeasurements of Defined Benefit Plans,0
18,Western Surety Company,2018,Q1,N/A,Other,0
19,Western Surety Company,2018,Q1,N/A,Equity Holders,954
20,Western Surety Company,2018,Q1,FVOCI, Loans,0
21,Western Surety Company,2018,Q1,FVOCI, Bonds and Debentures,202
22,Western Surety Company,2018,Q1,FVOCI, Equities (IAS 39),1781
23,Western Surety Company,2018,Q1,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Western Surety Company,2018,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Western Surety Company,2018,Q1,Other,Other,0
26,Western Surety Company,2018,Q1,FVOCI, Equities (IFRS 9),0
27,Western Surety Company,2018,Q1,Revaluation Surplus,Revaluation Surplus,0
28,Western Surety Company,2018,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Western Surety Company,2018,Q1,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Western Surety Company,2018,Q1,Other,Other,0
0,Western Surety Company,2018,Q2,0,Net Income,1049
1,Western Surety Company,2018,Q2,FVOCI, Loans,0
2,Western Surety Company,2018,Q2,FVOCI, Bonds and Debentures,-57
3,Western Surety Company,2018,Q2,FVOCI, Equities (IAS 39),269
4,Western Surety Company,2018,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,27
5,Western Surety Company,2018,Q2,Overlay Approach,Unrealized Gains and Losses,0
6,Western Surety Company,2018,Q2,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Western Surety Company,2018,Q2,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Western Surety Company,2018,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Western Surety Company,2018,Q2,FX Translation,Change in Unrealized Gains and Losses,0
10,Western Surety Company,2018,Q2,FX Translation,Impact of Hedging,0
11,Western Surety Company,2018,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Western Surety Company,2018,Q2,Other,Other,0
13,Western Surety Company,2018,Q2,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,-565
14,Western Surety Company,2018,Q2,Revaluation Surplus, Equities (IFRS 9),0
15,Western Surety Company,2018,Q2,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Western Surety Company,2018,Q2,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Western Surety Company,2018,Q2,Other,Remeasurements of Defined Benefit Plans,0
18,Western Surety Company,2018,Q2,N/A,Other,0
19,Western Surety Company,2018,Q2,N/A,Equity Holders,1614
20,Western Surety Company,2018,Q2,FVOCI, Loans,0
21,Western Surety Company,2018,Q2,FVOCI, Bonds and Debentures,25
22,Western Surety Company,2018,Q2,FVOCI, Equities (IAS 39),589
23,Western Surety Company,2018,Q2,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Western Surety Company,2018,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Western Surety Company,2018,Q2,Other,Other,0
26,Western Surety Company,2018,Q2,FVOCI, Equities (IFRS 9),0
27,Western Surety Company,2018,Q2,Revaluation Surplus,Revaluation Surplus,0
28,Western Surety Company,2018,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Western Surety Company,2018,Q2,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Western Surety Company,2018,Q2,Other,Other,0
0,Western Surety Company,2018,Q3,0,Net Income,2619
1,Western Surety Company,2018,Q3,FVOCI, Loans,0
2,Western Surety Company,2018,Q3,FVOCI, Bonds and Debentures,57
3,Western Surety Company,2018,Q3,FVOCI, Equities (IAS 39),437
4,Western Surety Company,2018,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,665
5,Western Surety Company,2018,Q3,Overlay Approach,Unrealized Gains and Losses,0
6,Western Surety Company,2018,Q3,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Western Surety Company,2018,Q3,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Western Surety Company,2018,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Western Surety Company,2018,Q3,FX Translation,Change in Unrealized Gains and Losses,0
10,Western Surety Company,2018,Q3,FX Translation,Impact of Hedging,0
11,Western Surety Company,2018,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Western Surety Company,2018,Q3,Other,Other,0
13,Western Surety Company,2018,Q3,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,579
14,Western Surety Company,2018,Q3,Revaluation Surplus, Equities (IFRS 9),0
15,Western Surety Company,2018,Q3,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Western Surety Company,2018,Q3,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Western Surety Company,2018,Q3,Other,Remeasurements of Defined Benefit Plans,0
18,Western Surety Company,2018,Q3,N/A,Other,0
19,Western Surety Company,2018,Q3,N/A,Equity Holders,2068
20,Western Surety Company,2018,Q3,FVOCI, Loans,0
21,Western Surety Company,2018,Q3,FVOCI, Bonds and Debentures,293
22,Western Surety Company,2018,Q3,FVOCI, Equities (IAS 39),2039
23,Western Surety Company,2018,Q3,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Western Surety Company,2018,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Western Surety Company,2018,Q3,Other,Other,0
26,Western Surety Company,2018,Q3,FVOCI, Equities (IFRS 9),0
27,Western Surety Company,2018,Q3,Revaluation Surplus,Revaluation Surplus,0
28,Western Surety Company,2018,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Western Surety Company,2018,Q3,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Western Surety Company,2018,Q3,Other,Other,0
0,Western Surety Company,2018,Q4,0,Net Income,-119
1,Western Surety Company,2018,Q4,FVOCI, Loans,0
2,Western Surety Company,2018,Q4,FVOCI, Bonds and Debentures,72
3,Western Surety Company,2018,Q4,FVOCI, Equities (IAS 39),392
4,Western Surety Company,2018,Q4,FVOCI,Reclassification of (Gains) Losses to Net Income,-111
5,Western Surety Company,2018,Q4,Overlay Approach,Unrealized Gains and Losses,0
6,Western Surety Company,2018,Q4,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Western Surety Company,2018,Q4,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Western Surety Company,2018,Q4,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Western Surety Company,2018,Q4,FX Translation,Change in Unrealized Gains and Losses,0
10,Western Surety Company,2018,Q4,FX Translation,Impact of Hedging,0
11,Western Surety Company,2018,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Western Surety Company,2018,Q4,Other,Other,0
13,Western Surety Company,2018,Q4,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,933
14,Western Surety Company,2018,Q4,Revaluation Surplus, Equities (IFRS 9),0
15,Western Surety Company,2018,Q4,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Western Surety Company,2018,Q4,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Western Surety Company,2018,Q4,Other,Remeasurements of Defined Benefit Plans,0
18,Western Surety Company,2018,Q4,N/A,Other,0
19,Western Surety Company,2018,Q4,N/A,Equity Holders,-1080
20,Western Surety Company,2018,Q4,FVOCI, Loans,0
21,Western Surety Company,2018,Q4,FVOCI, Bonds and Debentures,-78
22,Western Surety Company,2018,Q4,FVOCI, Equities (IAS 39),-1041
23,Western Surety Company,2018,Q4,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Western Surety Company,2018,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Western Surety Company,2018,Q4,Other,Other,0
26,Western Surety Company,2018,Q4,FVOCI, Equities (IFRS 9),0
27,Western Surety Company,2018,Q4,Revaluation Surplus,Revaluation Surplus,0
28,Western Surety Company,2018,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Western Surety Company,2018,Q4,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Western Surety Company,2018,Q4,Other,Other,0
0,Wynward Insurance Group,2020,Q1,0,Net Income,3478
1,Wynward Insurance Group,2020,Q1,FVOCI, Loans,90
2,Wynward Insurance Group,2020,Q1,FVOCI, Bonds and Debentures,284
3,Wynward Insurance Group,2020,Q1,FVOCI, Equities (IAS 39),942
4,Wynward Insurance Group,2020,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,134
5,Wynward Insurance Group,2020,Q1,Overlay Approach,Unrealized Gains and Losses,0
6,Wynward Insurance Group,2020,Q1,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Wynward Insurance Group,2020,Q1,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Wynward Insurance Group,2020,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Wynward Insurance Group,2020,Q1,FX Translation,Change in Unrealized Gains and Losses,0
10,Wynward Insurance Group,2020,Q1,FX Translation,Impact of Hedging,0
11,Wynward Insurance Group,2020,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Wynward Insurance Group,2020,Q1,Other,Other,0
13,Wynward Insurance Group,2020,Q1,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,1270
14,Wynward Insurance Group,2020,Q1,Revaluation Surplus, Equities (IFRS 9),0
15,Wynward Insurance Group,2020,Q1,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Wynward Insurance Group,2020,Q1,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Wynward Insurance Group,2020,Q1,Other,Remeasurements of Defined Benefit Plans,0
18,Wynward Insurance Group,2020,Q1,N/A,Other,0
19,Wynward Insurance Group,2020,Q1,N/A,Equity Holders,2208
20,Wynward Insurance Group,2020,Q1,FVOCI, Loans,156
21,Wynward Insurance Group,2020,Q1,FVOCI, Bonds and Debentures,155
22,Wynward Insurance Group,2020,Q1,FVOCI, Equities (IAS 39),870
23,Wynward Insurance Group,2020,Q1,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Wynward Insurance Group,2020,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Wynward Insurance Group,2020,Q1,Other,Other,0
26,Wynward Insurance Group,2020,Q1,FVOCI, Equities (IFRS 9),0
27,Wynward Insurance Group,2020,Q1,Revaluation Surplus,Revaluation Surplus,0
28,Wynward Insurance Group,2020,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Wynward Insurance Group,2020,Q1,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Wynward Insurance Group,2020,Q1,Other,Other,0
0,Wynward Insurance Group,2020,Q2,0,Net Income,1396
1,Wynward Insurance Group,2020,Q2,FVOCI, Loans,-76
2,Wynward Insurance Group,2020,Q2,FVOCI, Bonds and Debentures,2040
3,Wynward Insurance Group,2020,Q2,FVOCI, Equities (IAS 39),-251
4,Wynward Insurance Group,2020,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,-30
5,Wynward Insurance Group,2020,Q2,Overlay Approach,Unrealized Gains and Losses,0
6,Wynward Insurance Group,2020,Q2,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Wynward Insurance Group,2020,Q2,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Wynward Insurance Group,2020,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Wynward Insurance Group,2020,Q2,FX Translation,Change in Unrealized Gains and Losses,0
10,Wynward Insurance Group,2020,Q2,FX Translation,Impact of Hedging,0
11,Wynward Insurance Group,2020,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Wynward Insurance Group,2020,Q2,Other,Other,0
13,Wynward Insurance Group,2020,Q2,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,273
14,Wynward Insurance Group,2020,Q2,Revaluation Surplus, Equities (IFRS 9),0
15,Wynward Insurance Group,2020,Q2,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Wynward Insurance Group,2020,Q2,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Wynward Insurance Group,2020,Q2,Other,Remeasurements of Defined Benefit Plans,0
18,Wynward Insurance Group,2020,Q2,N/A,Other,0
19,Wynward Insurance Group,2020,Q2,N/A,Equity Holders,4209
20,Wynward Insurance Group,2020,Q2,FVOCI, Loans,-77
21,Wynward Insurance Group,2020,Q2,FVOCI, Bonds and Debentures,2606
22,Wynward Insurance Group,2020,Q2,FVOCI, Equities (IAS 39),-284
23,Wynward Insurance Group,2020,Q2,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Wynward Insurance Group,2020,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Wynward Insurance Group,2020,Q2,Other,Other,0
26,Wynward Insurance Group,2020,Q2,FVOCI, Equities (IFRS 9),0
27,Wynward Insurance Group,2020,Q2,Revaluation Surplus,Revaluation Surplus,0
28,Wynward Insurance Group,2020,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Wynward Insurance Group,2020,Q2,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Wynward Insurance Group,2020,Q2,Other,Other,0
0,Wynward Insurance Group,2020,Q3,0,Net Income,5191
1,Wynward Insurance Group,2020,Q3,FVOCI, Loans,152
2,Wynward Insurance Group,2020,Q3,FVOCI, Bonds and Debentures,667
3,Wynward Insurance Group,2020,Q3,FVOCI, Equities (IAS 39),360
4,Wynward Insurance Group,2020,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,213
5,Wynward Insurance Group,2020,Q3,Overlay Approach,Unrealized Gains and Losses,0
6,Wynward Insurance Group,2020,Q3,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
