,Company,Year,Quarter,Capital L1,Capital L2,Capital L3,Value
19,Unifund Assurance Company,2019,Q3,Capital Available,Total Capital Available,Other,0
0,Unifund Assurance Company,2019,Q2,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"217,048"
1,Unifund Assurance Company,2019,Q2,Capital Available,Total Capital Available,Other,0
2,Unifund Assurance Company,2019,Q2,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Unifund Assurance Company,2019,Q2,Capital Available,Total Capital Available,Other,0
4,Unifund Assurance Company,2019,Q2,Capital Margin Required,Insurance Risk,Premium liabilities,"42,935"
5,Unifund Assurance Company,2019,Q2,Capital Margin Required,Insurance Risk,Unpaid claims,"61,052"
6,Unifund Assurance Company,2019,Q2,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Unifund Assurance Company,2019,Q2,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,Unifund Assurance Company,2019,Q2,Capital Margin Required,Market Risk,Interest rate risk,"3,415"
9,Unifund Assurance Company,2019,Q2,Capital Margin Required,Market Risk,Foreign exchange risk,"1,633"
10,Unifund Assurance Company,2019,Q2,Capital Margin Required,Market Risk,Equity risk,0
11,Unifund Assurance Company,2019,Q2,Capital Margin Required,Market Risk,Real estate risk,0
12,Unifund Assurance Company,2019,Q2,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Unifund Assurance Company,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"7,380"
14,Unifund Assurance Company,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,179
15,Unifund Assurance Company,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"5,077"
16,Unifund Assurance Company,2019,Q2,Capital Margin Required,Operational Risk,Operational risk margin,"36,501"
17,Unifund Assurance Company,2019,Q2,Diversification Credit,Diversification Credit,Less: Diversification credit,"7,807"
18,Unifund Assurance Company,2019,Q2,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"100,243"
19,Unifund Assurance Company,2019,Q2,Capital Available,Total Capital Available,Other,0
0,Unifund Assurance Company,2019,Q1,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"249,265"
1,Unifund Assurance Company,2019,Q1,Capital Available,Total Capital Available,Other,0
2,Unifund Assurance Company,2019,Q1,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Unifund Assurance Company,2019,Q1,Capital Available,Total Capital Available,Other,0
4,Unifund Assurance Company,2019,Q1,Capital Margin Required,Insurance Risk,Premium liabilities,"38,577"
5,Unifund Assurance Company,2019,Q1,Capital Margin Required,Insurance Risk,Unpaid claims,"62,880"
6,Unifund Assurance Company,2019,Q1,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Unifund Assurance Company,2019,Q1,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,Unifund Assurance Company,2019,Q1,Capital Margin Required,Market Risk,Interest rate risk,"2,491"
9,Unifund Assurance Company,2019,Q1,Capital Margin Required,Market Risk,Foreign exchange risk,"1,229"
10,Unifund Assurance Company,2019,Q1,Capital Margin Required,Market Risk,Equity risk,0
11,Unifund Assurance Company,2019,Q1,Capital Margin Required,Market Risk,Real estate risk,0
12,Unifund Assurance Company,2019,Q1,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Unifund Assurance Company,2019,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"9,461"
14,Unifund Assurance Company,2019,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,174
15,Unifund Assurance Company,2019,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"3,391"
16,Unifund Assurance Company,2019,Q1,Capital Margin Required,Operational Risk,Operational risk margin,"35,461"
17,Unifund Assurance Company,2019,Q1,Diversification Credit,Diversification Credit,Less: Diversification credit,"7,420"
18,Unifund Assurance Company,2019,Q1,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"97,496"
19,Unifund Assurance Company,2019,Q1,Capital Available,Total Capital Available,Other,0
0,Unifund Assurance Company,2018,Q4,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"245,857"
1,Unifund Assurance Company,2018,Q4,Capital Available,Total Capital Available,Other,0
2,Unifund Assurance Company,2018,Q4,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Unifund Assurance Company,2018,Q4,Capital Available,Total Capital Available,Other,0
4,Unifund Assurance Company,2018,Q4,Capital Margin Required,Insurance Risk,Premium liabilities,"41,835"
5,Unifund Assurance Company,2018,Q4,Capital Margin Required,Insurance Risk,Unpaid claims,"60,707"
6,Unifund Assurance Company,2018,Q4,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Unifund Assurance Company,2018,Q4,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,Unifund Assurance Company,2018,Q4,Capital Margin Required,Market Risk,Interest rate risk,"2,048"
9,Unifund Assurance Company,2018,Q4,Capital Margin Required,Market Risk,Foreign exchange risk,"1,097"
10,Unifund Assurance Company,2018,Q4,Capital Margin Required,Market Risk,Equity risk,0
11,Unifund Assurance Company,2018,Q4,Capital Margin Required,Market Risk,Real estate risk,0
12,Unifund Assurance Company,2018,Q4,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Unifund Assurance Company,2018,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"8,400"
14,Unifund Assurance Company,2018,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,167
15,Unifund Assurance Company,2018,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"3,414"
16,Unifund Assurance Company,2018,Q4,Capital Margin Required,Operational Risk,Operational risk margin,"35,300"
17,Unifund Assurance Company,2018,Q4,Diversification Credit,Diversification Credit,Less: Diversification credit,"6,786"
18,Unifund Assurance Company,2018,Q4,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"97,455"
19,Unifund Assurance Company,2018,Q4,Capital Available,Total Capital Available,Other,0
0,Unifund Assurance Company,2018,Q3,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"289,938"
1,Unifund Assurance Company,2018,Q3,Capital Available,Total Capital Available,Other,0
2,Unifund Assurance Company,2018,Q3,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Unifund Assurance Company,2018,Q3,Capital Available,Total Capital Available,Other,0
4,Unifund Assurance Company,2018,Q3,Capital Margin Required,Insurance Risk,Premium liabilities,"40,498"
5,Unifund Assurance Company,2018,Q3,Capital Margin Required,Insurance Risk,Unpaid claims,"60,259"
6,Unifund Assurance Company,2018,Q3,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Unifund Assurance Company,2018,Q3,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,Unifund Assurance Company,2018,Q3,Capital Margin Required,Market Risk,Interest rate risk,381
9,Unifund Assurance Company,2018,Q3,Capital Margin Required,Market Risk,Foreign exchange risk,"1,262"
10,Unifund Assurance Company,2018,Q3,Capital Margin Required,Market Risk,Equity risk,0
11,Unifund Assurance Company,2018,Q3,Capital Margin Required,Market Risk,Real estate risk,0
12,Unifund Assurance Company,2018,Q3,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Unifund Assurance Company,2018,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"7,362"
14,Unifund Assurance Company,2018,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,241
15,Unifund Assurance Company,2018,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"3,322"
16,Unifund Assurance Company,2018,Q3,Capital Margin Required,Operational Risk,Operational risk margin,"33,998"
17,Unifund Assurance Company,2018,Q3,Diversification Credit,Diversification Credit,Less: Diversification credit,"5,732"
18,Unifund Assurance Company,2018,Q3,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"94,394"
19,Unifund Assurance Company,2018,Q3,Capital Available,Total Capital Available,Other,0
0,Unifund Assurance Company,2018,Q2,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"282,204"
1,Unifund Assurance Company,2018,Q2,Capital Available,Total Capital Available,Other,0
2,Unifund Assurance Company,2018,Q2,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Unifund Assurance Company,2018,Q2,Capital Available,Total Capital Available,Other,0
4,Unifund Assurance Company,2018,Q2,Capital Margin Required,Insurance Risk,Premium liabilities,"36,045"
5,Unifund Assurance Company,2018,Q2,Capital Margin Required,Insurance Risk,Unpaid claims,"59,534"
6,Unifund Assurance Company,2018,Q2,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Unifund Assurance Company,2018,Q2,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,Unifund Assurance Company,2018,Q2,Capital Margin Required,Market Risk,Interest rate risk,282
9,Unifund Assurance Company,2018,Q2,Capital Margin Required,Market Risk,Foreign exchange risk,943
10,Unifund Assurance Company,2018,Q2,Capital Margin Required,Market Risk,Equity risk,0
11,Unifund Assurance Company,2018,Q2,Capital Margin Required,Market Risk,Real estate risk,0
12,Unifund Assurance Company,2018,Q2,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Unifund Assurance Company,2018,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"7,149"
14,Unifund Assurance Company,2018,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,243
15,Unifund Assurance Company,2018,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"3,431"
16,Unifund Assurance Company,2018,Q2,Capital Margin Required,Operational Risk,Operational risk margin,"32,288"
17,Unifund Assurance Company,2018,Q2,Diversification Credit,Diversification Credit,Less: Diversification credit,"5,490"
18,Unifund Assurance Company,2018,Q2,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"89,617"
19,Unifund Assurance Company,2018,Q2,Capital Available,Total Capital Available,Other,0
0,Unifund Assurance Company,2018,Q1,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"270,689"
1,Unifund Assurance Company,2018,Q1,Capital Available,Total Capital Available,Other,0
2,Unifund Assurance Company,2018,Q1,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Unifund Assurance Company,2018,Q1,Capital Available,Total Capital Available,Other,0
4,Unifund Assurance Company,2018,Q1,Capital Margin Required,Insurance Risk,Premium liabilities,"33,601"
5,Unifund Assurance Company,2018,Q1,Capital Margin Required,Insurance Risk,Unpaid claims,"60,896"
6,Unifund Assurance Company,2018,Q1,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Unifund Assurance Company,2018,Q1,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,Unifund Assurance Company,2018,Q1,Capital Margin Required,Market Risk,Interest rate risk,93
9,Unifund Assurance Company,2018,Q1,Capital Margin Required,Market Risk,Foreign exchange risk,"1,000"
10,Unifund Assurance Company,2018,Q1,Capital Margin Required,Market Risk,Equity risk,0
11,Unifund Assurance Company,2018,Q1,Capital Margin Required,Market Risk,Real estate risk,0
12,Unifund Assurance Company,2018,Q1,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Unifund Assurance Company,2018,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"7,517"
14,Unifund Assurance Company,2018,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,253
15,Unifund Assurance Company,2018,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"3,824"
16,Unifund Assurance Company,2018,Q1,Capital Margin Required,Operational Risk,Operational risk margin,"32,155"
17,Unifund Assurance Company,2018,Q1,Diversification Credit,Diversification Credit,Less: Diversification credit,"5,747"
18,Unifund Assurance Company,2018,Q1,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"89,061"
19,Unifund Assurance Company,2018,Q1,Capital Available,Total Capital Available,Other,0
0,Verassure Insurance Company,2020,Q3,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"308,079"
1,Verassure Insurance Company,2020,Q3,Capital Available,Total Capital Available,Other,0
2,Verassure Insurance Company,2020,Q3,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Verassure Insurance Company,2020,Q3,Capital Available,Total Capital Available,Other,0
4,Verassure Insurance Company,2020,Q3,Capital Margin Required,Insurance Risk,Premium liabilities,"9,631"
5,Verassure Insurance Company,2020,Q3,Capital Margin Required,Insurance Risk,Unpaid claims,"19,218"
6,Verassure Insurance Company,2020,Q3,Capital Margin Required,Insurance Risk,Catastrophes,760
7,Verassure Insurance Company,2020,Q3,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,28
8,Verassure Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Interest rate risk,"2,034"
9,Verassure Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Foreign exchange risk,"1,786"
10,Verassure Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Equity risk,"23,149"
11,Verassure Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Real estate risk,0
12,Verassure Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Verassure Insurance Company,2020,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"6,389"
14,Verassure Insurance Company,2020,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,580
15,Verassure Insurance Company,2020,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,948
16,Verassure Insurance Company,2020,Q3,Capital Margin Required,Operational Risk,Operational risk margin,"9,103"
17,Verassure Insurance Company,2020,Q3,Diversification Credit,Diversification Credit,Less: Diversification credit,"8,583"
18,Verassure Insurance Company,2020,Q3,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"43,362"
19,Verassure Insurance Company,2020,Q3,Capital Available,Total Capital Available,Other,0
0,Verassure Insurance Company,2020,Q2,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"302,586"
1,Verassure Insurance Company,2020,Q2,Capital Available,Total Capital Available,Other,0
2,Verassure Insurance Company,2020,Q2,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Verassure Insurance Company,2020,Q2,Capital Available,Total Capital Available,Other,0
4,Verassure Insurance Company,2020,Q2,Capital Margin Required,Insurance Risk,Premium liabilities,"8,337"
5,Verassure Insurance Company,2020,Q2,Capital Margin Required,Insurance Risk,Unpaid claims,"19,149"
6,Verassure Insurance Company,2020,Q2,Capital Margin Required,Insurance Risk,Catastrophes,760
7,Verassure Insurance Company,2020,Q2,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,179
8,Verassure Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Interest rate risk,"2,304"
9,Verassure Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Foreign exchange risk,"3,410"
10,Verassure Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Equity risk,"22,693"
11,Verassure Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Real estate risk,0
12,Verassure Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Verassure Insurance Company,2020,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"5,702"
14,Verassure Insurance Company,2020,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,596
15,Verassure Insurance Company,2020,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,675
16,Verassure Insurance Company,2020,Q2,Capital Margin Required,Operational Risk,Operational risk margin,"8,993"
17,Verassure Insurance Company,2020,Q2,Diversification Credit,Diversification Credit,Less: Diversification credit,"8,439"
18,Verassure Insurance Company,2020,Q2,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"42,906"
19,Verassure Insurance Company,2020,Q2,Capital Available,Total Capital Available,Other,0
0,Verassure Insurance Company,2020,Q1,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"302,033"
1,Verassure Insurance Company,2020,Q1,Capital Available,Total Capital Available,Other,0
2,Verassure Insurance Company,2020,Q1,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Verassure Insurance Company,2020,Q1,Capital Available,Total Capital Available,Other,0
4,Verassure Insurance Company,2020,Q1,Capital Margin Required,Insurance Risk,Premium liabilities,"7,517"
5,Verassure Insurance Company,2020,Q1,Capital Margin Required,Insurance Risk,Unpaid claims,"17,462"
6,Verassure Insurance Company,2020,Q1,Capital Margin Required,Insurance Risk,Catastrophes,760
7,Verassure Insurance Company,2020,Q1,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,23
8,Verassure Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Interest rate risk,967
9,Verassure Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Foreign exchange risk,"3,784"
10,Verassure Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Equity risk,"22,986"
11,Verassure Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Real estate risk,0
12,Verassure Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Verassure Insurance Company,2020,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"4,739"
14,Verassure Insurance Company,2020,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,578
15,Verassure Insurance Company,2020,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,500
16,Verassure Insurance Company,2020,Q1,Capital Margin Required,Operational Risk,Operational risk margin,"8,627"
17,Verassure Insurance Company,2020,Q1,Diversification Credit,Diversification Credit,Less: Diversification credit,"7,799"
18,Verassure Insurance Company,2020,Q1,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"40,096"
19,Verassure Insurance Company,2020,Q1,Capital Available,Total Capital Available,Other,0
0,Verassure Insurance Company,2019,Q4,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"313,002"
1,Verassure Insurance Company,2019,Q4,Capital Available,Total Capital Available,Other,0
2,Verassure Insurance Company,2019,Q4,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Verassure Insurance Company,2019,Q4,Capital Available,Total Capital Available,Other,0
4,Verassure Insurance Company,2019,Q4,Capital Margin Required,Insurance Risk,Premium liabilities,"7,796"
5,Verassure Insurance Company,2019,Q4,Capital Margin Required,Insurance Risk,Unpaid claims,"17,106"
6,Verassure Insurance Company,2019,Q4,Capital Margin Required,Insurance Risk,Catastrophes,760
7,Verassure Insurance Company,2019,Q4,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,22
8,Verassure Insurance Company,2019,Q4,Capital Margin Required,Market Risk,Interest rate risk,236
9,Verassure Insurance Company,2019,Q4,Capital Margin Required,Market Risk,Foreign exchange risk,"4,007"
10,Verassure Insurance Company,2019,Q4,Capital Margin Required,Market Risk,Equity risk,"26,427"
11,Verassure Insurance Company,2019,Q4,Capital Margin Required,Market Risk,Real estate risk,0
12,Verassure Insurance Company,2019,Q4,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Verassure Insurance Company,2019,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"5,109"
14,Verassure Insurance Company,2019,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,583
15,Verassure Insurance Company,2019,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,660
16,Verassure Insurance Company,2019,Q4,Capital Margin Required,Operational Risk,Operational risk margin,"8,088"
17,Verassure Insurance Company,2019,Q4,Diversification Credit,Diversification Credit,Less: Diversification credit,"8,106"
18,Verassure Insurance Company,2019,Q4,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"41,792"
19,Verassure Insurance Company,2019,Q4,Capital Available,Total Capital Available,Other,0
0,Verassure Insurance Company,2019,Q3,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"313,836"
1,Verassure Insurance Company,2019,Q3,Capital Available,Total Capital Available,Other,0
2,Verassure Insurance Company,2019,Q3,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Verassure Insurance Company,2019,Q3,Capital Available,Total Capital Available,Other,0
4,Verassure Insurance Company,2019,Q3,Capital Margin Required,Insurance Risk,Premium liabilities,"7,888"
5,Verassure Insurance Company,2019,Q3,Capital Margin Required,Insurance Risk,Unpaid claims,"15,713"
6,Verassure Insurance Company,2019,Q3,Capital Margin Required,Insurance Risk,Catastrophes,820
7,Verassure Insurance Company,2019,Q3,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,21
8,Verassure Insurance Company,2019,Q3,Capital Margin Required,Market Risk,Interest rate risk,832
9,Verassure Insurance Company,2019,Q3,Capital Margin Required,Market Risk,Foreign exchange risk,"3,976"
10,Verassure Insurance Company,2019,Q3,Capital Margin Required,Market Risk,Equity risk,"28,260"
11,Verassure Insurance Company,2019,Q3,Capital Margin Required,Market Risk,Real estate risk,0
12,Verassure Insurance Company,2019,Q3,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Verassure Insurance Company,2019,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"5,194"
14,Verassure Insurance Company,2019,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,520
15,Verassure Insurance Company,2019,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,410
16,Verassure Insurance Company,2019,Q3,Capital Margin Required,Operational Risk,Operational risk margin,"7,919"
17,Verassure Insurance Company,2019,Q3,Diversification Credit,Diversification Credit,Less: Diversification credit,"8,034"
18,Verassure Insurance Company,2019,Q3,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"42,346"
19,Verassure Insurance Company,2019,Q3,Capital Available,Total Capital Available,Other,0
0,Verassure Insurance Company,2019,Q2,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"319,804"
1,Verassure Insurance Company,2019,Q2,Capital Available,Total Capital Available,Other,0
2,Verassure Insurance Company,2019,Q2,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Verassure Insurance Company,2019,Q2,Capital Available,Total Capital Available,Other,0
4,Verassure Insurance Company,2019,Q2,Capital Margin Required,Insurance Risk,Premium liabilities,"6,397"
5,Verassure Insurance Company,2019,Q2,Capital Margin Required,Insurance Risk,Unpaid claims,"15,139"
6,Verassure Insurance Company,2019,Q2,Capital Margin Required,Insurance Risk,Catastrophes,820
7,Verassure Insurance Company,2019,Q2,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,21
8,Verassure Insurance Company,2019,Q2,Capital Margin Required,Market Risk,Interest rate risk,320
9,Verassure Insurance Company,2019,Q2,Capital Margin Required,Market Risk,Foreign exchange risk,"3,897"
10,Verassure Insurance Company,2019,Q2,Capital Margin Required,Market Risk,Equity risk,"30,080"
11,Verassure Insurance Company,2019,Q2,Capital Margin Required,Market Risk,Real estate risk,0
12,Verassure Insurance Company,2019,Q2,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Verassure Insurance Company,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"5,365"
14,Verassure Insurance Company,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,533
15,Verassure Insurance Company,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,514
16,Verassure Insurance Company,2019,Q2,Capital Margin Required,Operational Risk,Operational risk margin,"7,572"
17,Verassure Insurance Company,2019,Q2,Diversification Credit,Diversification Credit,Less: Diversification credit,"7,688"
18,Verassure Insurance Company,2019,Q2,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"41,980"
19,Verassure Insurance Company,2019,Q2,Capital Available,Total Capital Available,Other,0
0,Verassure Insurance Company,2019,Q1,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"335,100"
1,Verassure Insurance Company,2019,Q1,Capital Available,Total Capital Available,Other,0
2,Verassure Insurance Company,2019,Q1,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Verassure Insurance Company,2019,Q1,Capital Available,Total Capital Available,Other,0
4,Verassure Insurance Company,2019,Q1,Capital Margin Required,Insurance Risk,Premium liabilities,"4,808"
5,Verassure Insurance Company,2019,Q1,Capital Margin Required,Insurance Risk,Unpaid claims,"14,641"
6,Verassure Insurance Company,2019,Q1,Capital Margin Required,Insurance Risk,Catastrophes,820
7,Verassure Insurance Company,2019,Q1,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,19
8,Verassure Insurance Company,2019,Q1,Capital Margin Required,Market Risk,Interest rate risk,"2,232"
9,Verassure Insurance Company,2019,Q1,Capital Margin Required,Market Risk,Foreign exchange risk,"3,659"
10,Verassure Insurance Company,2019,Q1,Capital Margin Required,Market Risk,Equity risk,"28,198"
11,Verassure Insurance Company,2019,Q1,Capital Margin Required,Market Risk,Real estate risk,0
12,Verassure Insurance Company,2019,Q1,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Verassure Insurance Company,2019,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"10,933"
14,Verassure Insurance Company,2019,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,521
15,Verassure Insurance Company,2019,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,568
16,Verassure Insurance Company,2019,Q1,Capital Margin Required,Operational Risk,Operational risk margin,"7,594"
17,Verassure Insurance Company,2019,Q1,Diversification Credit,Diversification Credit,Less: Diversification credit,"7,464"
18,Verassure Insurance Company,2019,Q1,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"44,353"
19,Verassure Insurance Company,2019,Q1,Capital Available,Total Capital Available,Other,0
0,Verassure Insurance Company,2018,Q4,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"354,963"
1,Verassure Insurance Company,2018,Q4,Capital Available,Total Capital Available,Other,0
2,Verassure Insurance Company,2018,Q4,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Verassure Insurance Company,2018,Q4,Capital Available,Total Capital Available,Other,0
4,Verassure Insurance Company,2018,Q4,Capital Margin Required,Insurance Risk,Premium liabilities,"5,998"
5,Verassure Insurance Company,2018,Q4,Capital Margin Required,Insurance Risk,Unpaid claims,"14,229"
6,Verassure Insurance Company,2018,Q4,Capital Margin Required,Insurance Risk,Catastrophes,820
7,Verassure Insurance Company,2018,Q4,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,20
8,Verassure Insurance Company,2018,Q4,Capital Margin Required,Market Risk,Interest rate risk,"2,956"
9,Verassure Insurance Company,2018,Q4,Capital Margin Required,Market Risk,Foreign exchange risk,"3,727"
10,Verassure Insurance Company,2018,Q4,Capital Margin Required,Market Risk,Equity risk,"27,499"
11,Verassure Insurance Company,2018,Q4,Capital Margin Required,Market Risk,Real estate risk,0
